car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,latitude,longitude
T74,BLK 425/428 TAMPINES STREET 41,40786.4727,37942.9375,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N,1.359414,103.948213
T75,BLK 429/432 TAMPINES STREET 41,41035.8679,37933.5266,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N,1.359329,103.950454
T76,BLK 433/443 TAMPINES STREET 43,41168.0391,38026.2765,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,3.80,N,1.360168,103.951642
T77,BLK 472/484 TAMPINES STREET 43/44,41294.1032,38193.2412,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.50,N,1.361678,103.952775
T78,BLK 444/450 TAMPINES STREET 42,41120.0820,37750.8945,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N,1.357677,103.951211
T79,BLK 451/460 TAMPINES STREET 42,41482.7031,37721.6602,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N,1.357413,103.954469
T8,BLK 137/139 TAMPINES ST 11,40338.7812,36505.4414,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N,1.346414,103.944190
T80,BLK 461/471 TAMPINES STREET 44,41494.2122,37985.4918,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.50,N,1.359799,103.954573
T81,BLK 485A/489C TAMPINES ST 45/AVE 9,41871.9858,38044.2348,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0.00,N,1.360330,103.957968
T9,BLK 140/148 TAMPINES STREET 12,40278.3039,36660.4761,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.50,N,1.347816,103.943647
